2026-09-18T16:14:00Z INFO Logging to /tmp/logs/update_2026-09-18T16-14-00Z.log.
2026-09-18T16:14:00Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-18T16:14:00Z INFO Processing 374 items (49526 already recorded).
2026-09-18T16:17:34Z INFO [51/374] 05a5dd5c-333c-45e0-ae9e-cffb94fcc7eb: 925 datasets; 15.9 s; peak memory 201 MiB.
2026-09-18T16:17:36Z INFO [52/374] 05a6cb19-8fea-45e2-b8b0-f4b6ff0a4538: 117 datasets; 1.6 s; peak memory 201 MiB.
2026-09-18T16:17:38Z INFO [53/374] 05a6d22f-97f9-4867-93b5-c2bec299e417: 38 datasets; 2.5 s; peak memory 201 MiB.
2026-09-18T16:17:40Z INFO [54/374] 05a73ef3-9ba7-43d5-8af0-5f74ed1fc541: 48 datasets; 1.3 s; peak memory 201 MiB.
2026-09-18T16:17:41Z INFO [55/374] 05a74b0f-7bf7-43f1-99ce-b87ab353336e: 48 datasets; 1.2 s; peak memory 201 MiB.
2026-09-18T16:17:42Z INFO [56/374] 05a76531-49a9-402e-80ee-76284cdd97fc: 117 datasets; 1.5 s; peak memory 201 MiB.
2026-09-18T16:17:59Z INFO [57/374] 05a82e66-4b4d-4421-a904-748c6ca11a38: 856 datasets; 17.0 s; peak memory 201 MiB.
2026-09-18T16:18:01Z INFO [58/374] 05a8d371-6821-4629-9672-81c73f40d132: 112 datasets; 1.8 s; peak memory 201 MiB.
2026-09-18T16:18:03Z INFO [59/374] 05a960bd-657d-46fe-a422-b829a8a624c1: 49 datasets; 1.4 s; peak memory 201 MiB.
2026-09-18T16:18:05Z INFO [60/374] 05a98e73-5522-4e91-8324-f03120d7eda8: 101 datasets; 2.7 s; peak memory 201 MiB.
2026-09-18T16:18:07Z INFO [61/374] 05a9ae09-4c3d-44b3-8be5-f27068fdd854: 48 datasets; 1.2 s; peak memory 201 MiB.
2026-09-18T16:18:22Z INFO [62/374] 05a9ec4a-b95b-4648-98ca-c68cba66031f: 1367 datasets; 15.7 s; peak memory 201 MiB.
2026-09-18T16:18:24Z INFO [63/374] 05aa22f2-d2f5-4c69-a68d-f0ee5dc8f6fd: 66 datasets; 1.8 s; peak memory 201 MiB.
2026-09-18T16:18:26Z INFO [64/374] 05aa287a-7a12-405a-a5cf-271bd4acc386: 118 datasets; 1.5 s; peak memory 201 MiB.
2026-09-18T16:18:27Z INFO [65/374] 05aa6494-0342-4297-8671-9631520f5b6c: 69 datasets; 1.6 s; peak memory 201 MiB.
2026-09-18T16:18:29Z INFO [66/374] 05aac6cf-1b02-414b-897c-f14b4bff29cb: 84 datasets; 1.6 s; peak memory 201 MiB.
2026-09-18T16:18:30Z INFO [67/374] 05ab4781-bffd-49a7-baef-ac4e789257a5: 48 datasets; 1.2 s; peak memory 201 MiB.
2026-09-18T16:18:42Z INFO [68/374] 05ac8459-fdb4-4951-b750-46113406401d: 706 datasets; 12.2 s; peak memory 201 MiB.
2026-09-18T16:18:43Z INFO [69/374] 05acb171-09e1-4394-bfaf-b0828f996a15: 46 datasets; 1.0 s; peak memory 201 MiB.
2026-09-18T16:18:44Z INFO [70/374] 05acb20e-69f8-46eb-ad2d-1d14ac886bba: 48 datasets; 1.2 s; peak memory 201 MiB.
2026-09-18T16:18:46Z INFO [71/374] 05add16e-2387-4e76-9d3a-3667cf9281a6: 38 datasets; 1.2 s; peak memory 201 MiB.
2026-09-18T16:18:49Z INFO [72/374] 05ae2b09-d67d-4f7a-90b6-076d954877ab: 152 datasets; 3.1 s; peak memory 201 MiB.
2026-09-18T16:18:51Z INFO [73/374] 05ae9d47-2315-4b36-8f4e-657024d0aaf6: 152 datasets; 1.9 s; peak memory 201 MiB.
2026-09-18T16:18:52Z INFO [74/374] 05aebd7d-2516-481e-aad7-dab5325ed098: 48 datasets; 1.2 s; peak memory 201 MiB.
2026-09-18T16:18:53Z INFO [75/374] 05afda79-c8b9-409c-a4d1-94c14dee0183: 118 datasets; 1.4 s; peak memory 201 MiB.
2026-09-18T16:18:55Z INFO [76/374] 05b07817-d5d3-4a2d-babc-1e84fceef41d: 48 datasets; 1.2 s; peak memory 201 MiB.
2026-09-18T16:18:56Z INFO [77/374] 05b20ba1-7181-4980-a8f8-8036b95b91a9: 118 datasets; 1.4 s; peak memory 201 MiB.
2026-09-18T16:18:58Z INFO [78/374] 05b2471f-c03c-4ed4-b67c-588e2f08fc82: 71 datasets; 1.8 s; peak memory 201 MiB.
2026-09-18T16:18:59Z INFO [79/374] 05b309aa-c900-4a93-a923-1f688da6124d: 59 datasets; 1.4 s; peak memory 201 MiB.
2026-09-18T16:19:00Z INFO [80/374] 05b320ee-4547-4a84-b60d-73e5da0c1142: 46 datasets; 0.9 s; peak memory 201 MiB.
2026-09-18T16:19:01Z INFO [81/374] 05b3c55d-2c1e-4f0e-9b36-eea4c5826366: 48 datasets; 1.3 s; peak memory 201 MiB.
2026-09-18T16:19:08Z INFO [82/374] 05b496f6-87ac-4c5e-a77b-a3f504b522da: 538 datasets; 6.8 s; peak memory 201 MiB.
2026-09-18T16:20:06Z INFO [83/374] 05b4ee62-d548-434b-a92c-d234a646dd2b: 4089 datasets; 57.3 s; peak memory 221 MiB.
2026-09-18T16:20:07Z INFO [84/374] 05b55d06-6b9c-4e31-9efc-cf0886c6422c: 118 datasets; 1.5 s; peak memory 221 MiB.
2026-09-18T16:20:09Z INFO [85/374] 05b677f8-9df6-40f7-88a1-b9c53126bf3a: 112 datasets; 1.9 s; peak memory 221 MiB.
2026-09-18T16:20:11Z INFO [86/374] 05b756ec-d669-4e3b-b044-ddd520fbd54d: 69 datasets; 1.7 s; peak memory 221 MiB.
2026-09-18T16:20:12Z INFO [87/374] 05b8073e-c8bb-41db-8911-2ce119aca306: 48 datasets; 1.3 s; peak memory 221 MiB.
2026-09-18T16:20:13Z INFO [88/374] 05b85da6-d091-4f85-b39f-f0686a57753d: 117 datasets; 1.4 s; peak memory 221 MiB.
2026-09-18T16:20:15Z INFO [89/374] 05b86317-c0c4-4a34-bddb-0c7d1bc25eba: 66 datasets; 2.1 s; peak memory 221 MiB.
2026-09-18T16:20:17Z INFO [90/374] 05b88182-7c82-4dd3-b9c1-dca9bd2cb9a5: 48 datasets; 1.3 s; peak memory 221 MiB.
2026-09-18T16:20:22Z INFO [91/374] 05b92744-7cd5-44d3-a2f1-935457251bf3: 225 datasets; 5.2 s; peak memory 221 MiB.
2026-09-18T16:20:32Z INFO [92/374] 05b9b3f3-b227-439c-b2a9-22695e610bf0: 593 datasets; 9.9 s; peak memory 221 MiB.
2026-09-18T16:24:15Z INFO [93/374] 05ba097b-f014-4e05-8b8a-362101cf2a56: 292 datasets; 223.5 s; peak memory 414 MiB.
2026-09-18T16:24:17Z INFO [94/374] 05bb0b64-af6d-4adf-8027-354a4a31e459: 71 datasets; 2.1 s; peak memory 414 MiB.
2026-09-18T16:24:19Z INFO [95/374] 05bb30d1-2ae2-4075-a701-06e81eb86bd2: 61 datasets; 1.2 s; peak memory 414 MiB.
2026-09-18T16:24:31Z INFO [96/374] 05bb8557-415c-4fd0-8c7f-e3fc7bb752bc: 296 datasets; 12.2 s; peak memory 414 MiB.
2026-09-18T16:24:33Z INFO [97/374] 05bba29b-3e89-40db-be27-9d275cac385e: 112 datasets; 2.1 s; peak memory 414 MiB.
2026-09-18T16:24:38Z INFO [98/374] 05bcc39e-61b6-4dc8-8f37-5b7201de8fb3: 462 datasets; 5.5 s; peak memory 414 MiB.
2026-09-18T16:24:40Z INFO [99/374] 05bceb2c-dc2f-4b3a-b625-8806fc26f274: 62 datasets; 1.6 s; peak memory 414 MiB.
2026-09-18T16:24:45Z INFO [100/374] 05bdb147-d79b-4de4-a99b-0bda64dbcd26: 242 datasets; 4.8 s; peak memory 414 MiB.
2026-09-18T16:24:45Z INFO [100/374] 05bdb147-d79b-4de4-a99b-0bda64dbcd26: checkpointed 49626 records.
2026-09-18T16:25:30Z INFO [101/374] 05bea909-fab0-453d-b0bc-f401e4cf6a63: 55 datasets; 45.3 s; peak memory 414 MiB.
2026-09-18T16:25:32Z INFO [102/374] 05c0d03c-2eaf-4df2-9673-2ece9f433147: 112 datasets; 1.7 s; peak memory 414 MiB.
2026-09-18T16:25:33Z INFO [103/374] 05c0f741-419c-4706-b8d7-f43dd97ec10b: 117 datasets; 1.5 s; peak memory 414 MiB.
2026-09-18T16:25:35Z INFO [104/374] 05c1438f-4d55-47c5-8852-db4707df3225: 116 datasets; 1.5 s; peak memory 414 MiB.
2026-09-18T16:25:36Z INFO [105/374] 05c1d11d-a2c5-44ec-8df0-ae66612122a6: 117 datasets; 1.6 s; peak memory 414 MiB.
2026-09-18T16:25:38Z INFO [106/374] 05c22c2c-dcb0-46a2-9fbc-c04488a7f54f: 70 datasets; 1.8 s; peak memory 414 MiB.
2026-09-18T16:25:40Z INFO [107/374] 05c2623b-5023-427a-8671-5435fe4e426d: 116 datasets; 1.5 s; peak memory 414 MiB.
2026-09-18T16:25:41Z INFO [108/374] 05c2abd2-7b77-45e5-a87f-18613f174e9c: 117 datasets; 1.6 s; peak memory 414 MiB.
2026-09-18T16:25:43Z INFO [109/374] 05c2f42b-b527-4e28-a812-364e2605c37f: 66 datasets; 1.6 s; peak memory 414 MiB.
2026-09-18T16:25:46Z INFO [110/374] 05c378d6-b02a-4f48-a18e-634bbc0c97dc: 152 datasets; 3.6 s; peak memory 414 MiB.
2026-09-18T16:25:48Z INFO [111/374] 05c4e2d1-a042-40af-bf8e-e28071718747: 275 datasets; 1.7 s; peak memory 414 MiB.
2026-09-18T16:25:50Z INFO [112/374] 05c5b4dc-9d43-4a4f-87eb-b42fa5bf1f11: 116 datasets; 1.8 s; peak memory 414 MiB.
2026-09-18T16:25:51Z INFO [113/374] 05c5f3df-9747-4400-8257-060d8ff702ac: 48 datasets; 1.2 s; peak memory 414 MiB.
2026-09-18T16:25:53Z INFO [114/374] 05c613b2-93d6-4ee6-8a6c-3aa5ef2ec969: 112 datasets; 1.9 s; peak memory 414 MiB.
2026-09-18T16:25:55Z INFO [115/374] 05c61974-434e-4184-ab40-c33d50052088: 78 datasets; 2.1 s; peak memory 414 MiB.
2026-09-18T16:25:56Z INFO [116/374] 05c6dc24-51c8-4a41-8526-450b8f1e9c7e: 119 datasets; 1.2 s; peak memory 414 MiB.
2026-09-18T16:26:00Z INFO [117/374] 05c734ed-4b11-4d90-9181-80d2ed559f89: 156 datasets; 3.5 s; peak memory 414 MiB.
2026-09-18T16:26:01Z INFO [118/374] 05c7fc4c-b739-4c1f-bfbc-0892e81a29a2: 46 datasets; 1.0 s; peak memory 414 MiB.
2026-09-18T16:26:02Z INFO [119/374] 05c82f28-bc3f-48a5-8e66-3978df5491f8: 62 datasets; 1.7 s; peak memory 414 MiB.
2026-09-18T16:26:04Z INFO [120/374] 05c88a3a-6fd9-43f3-85d2-cd299005759b: 117 datasets; 1.4 s; peak memory 414 MiB.
2026-09-18T16:26:06Z INFO [121/374] 05c8b753-73d7-42c5-acee-1a7eacb26a37: 110 datasets; 1.9 s; peak memory 414 MiB.
2026-09-18T16:26:07Z INFO [122/374] 05c9690a-7a8b-43f9-bd70-2f1eb672c60a: 46 datasets; 1.6 s; peak memory 414 MiB.
2026-09-18T16:26:08Z INFO [123/374] 05c9d2fe-3da7-45b4-9872-a88f0a580531: 62 datasets; 1.1 s; peak memory 414 MiB.
2026-09-18T16:26:42Z INFO [124/374] 05cb109a-cc08-414a-8319-184f1c57b426: 1655 datasets; 33.2 s; peak memory 414 MiB.
2026-09-18T16:26:44Z INFO [125/374] 05cb6639-ed9a-4b1f-aec3-4ba92522bacf: 110 datasets; 1.9 s; peak memory 414 MiB.
2026-09-18T16:26:45Z INFO [126/374] 05cb6c48-85f4-4bf7-9fc0-4b5163dfc5ce: 117 datasets; 1.8 s; peak memory 414 MiB.
2026-09-18T16:26:47Z INFO [127/374] 05cbc955-d0e4-4fe2-bcdc-1123ae448302: 69 datasets; 1.4 s; peak memory 414 MiB.
2026-09-18T16:26:48Z INFO [128/374] 05cbe4c5-10d0-4be0-8165-54023e3365b3: 48 datasets; 1.2 s; peak memory 414 MiB.
2026-09-18T16:26:49Z INFO [129/374] 05cc0bdc-7588-4d72-9555-017e3936a13b: 56 datasets; 1.0 s; peak memory 414 MiB.
2026-09-18T16:26:51Z INFO [130/374] 05cc0d18-7f31-4034-afbd-8b10e2613101: 77 datasets; 1.9 s; peak memory 414 MiB.
2026-09-18T16:26:53Z INFO [131/374] 05cdddb0-99c2-4dcb-b547-72675f21b048: 117 datasets; 2.7 s; peak memory 414 MiB.
2026-09-18T16:26:55Z INFO [132/374] 05ce6a89-c16c-4cf3-8fda-e5e8eaacb29c: 52 datasets; 1.5 s; peak memory 414 MiB.
2026-09-18T16:26:56Z INFO [133/374] 05ce86e7-9dcd-473d-bdc3-b0932b164814: 46 datasets; 1.1 s; peak memory 414 MiB.
2026-09-18T16:26:57Z INFO [134/374] 05cf5867-d1ca-411c-9c31-5c9e64d4b91c: 48 datasets; 1.2 s; peak memory 414 MiB.
2026-09-18T16:26:59Z INFO [135/374] 05cf647f-c9a4-447c-82ed-0995dd65f7b0: 48 datasets; 1.2 s; peak memory 414 MiB.
2026-09-18T16:27:09Z INFO [136/374] 05d016bf-0013-46c8-85a9-43317a3d97f9: 1101 datasets; 10.3 s; peak memory 414 MiB.
2026-09-18T16:27:11Z INFO [137/374] 05d0f20f-7dfa-4a75-a6f0-5991b08ff145: 71 datasets; 2.2 s; peak memory 414 MiB.
2026-09-18T16:27:13Z INFO [138/374] 05d1999b-579c-41d4-90f3-4e4578c78092: 117 datasets; 1.6 s; peak memory 414 MiB.
2026-09-18T16:27:15Z INFO [139/374] 05d31498-49de-41f9-8fa0-5c9bf05e182c: 71 datasets; 1.9 s; peak memory 414 MiB.
2026-09-18T16:27:18Z INFO [140/374] 05d338a6-ce76-4b41-8581-d917e769a17b: 116 datasets; 3.0 s; peak memory 414 MiB.
2026-09-18T16:27:28Z INFO [141/374] 05d3af79-2153-4a61-b03e-4a446f7ffe4d: 343 datasets; 10.0 s; peak memory 414 MiB.
2026-09-18T16:27:39Z INFO [142/374] 05d3f15d-7f28-425b-8669-38104b4ab19e: 637 datasets; 11.7 s; peak memory 414 MiB.
2026-09-18T16:27:55Z INFO [143/374] 05d3f2a3-de1e-41ae-a7bf-617d3b0f443b: 723 datasets; 15.5 s; peak memory 414 MiB.
2026-09-18T16:27:56Z INFO [144/374] 05d5c1b2-40ee-4be7-b8d0-b3399be7c7b1: 66 datasets; 1.6 s; peak memory 414 MiB.
2026-09-18T16:27:58Z INFO [145/374] 05d6b2b6-db8c-488d-83db-6b2913d834b9: 116 datasets; 1.5 s; peak memory 414 MiB.
2026-09-18T16:28:00Z INFO [146/374] 05d70301-25b7-4952-806d-dd0c18af0d9b: 112 datasets; 2.0 s; peak memory 414 MiB.
2026-09-18T16:28:01Z INFO [147/374] 05d76bda-b96d-40e5-9b79-43ee6d21c5d4: 45 datasets; 1.0 s; peak memory 414 MiB.
2026-09-18T16:28:05Z INFO [148/374] 05d777b8-e8d2-4d3d-9485-2a4c92430c35: 1627 datasets; 3.9 s; peak memory 414 MiB.
2026-09-18T16:28:06Z INFO [149/374] 05d7e774-4f38-4a01-a3d6-44ee446384a1: 46 datasets; 1.3 s; peak memory 414 MiB.
2026-09-18T16:28:07Z INFO [150/374] 05d8c301-ff5d-40bb-b8f9-86873da610a1: 48 datasets; 1.3 s; peak memory 414 MiB.
2026-09-18T16:28:07Z INFO [150/374] 05d8c301-ff5d-40bb-b8f9-86873da610a1: checkpointed 49676 records.
2026-09-18T16:28:09Z INFO [151/374] 05d8ccf3-876a-4bef-8538-84d573c95cdb: 66 datasets; 1.7 s; peak memory 414 MiB.
