2026-09-23T16:38:33Z INFO Logging to /tmp/logs/update_2026-09-23T16-38-33Z.log.
2026-09-23T16:38:33Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-23T16:38:33Z INFO Processing 369 items (55049 already recorded).
2026-09-23T16:46:14Z INFO [72/369] 112cf70d-48b3-4a58-984f-e0207e27d5cc: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:46:14Z INFO [73/369] 112d3ed8-fbe0-4449-a47b-875fdee36532: 52 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:46:16Z INFO [74/369] 112d6300-c2c5-4d28-bdef-49835ca451ae: 168 datasets; 1.5 s; peak memory 271 MiB.
2026-09-23T16:46:16Z INFO [75/369] 112d7099-1f02-476a-9626-7399e12a0e2c: 46 datasets; 0.5 s; peak memory 271 MiB.
2026-09-23T16:46:17Z INFO [76/369] 112e5735-800d-4092-9fb4-a1866b19e945: 48 datasets; 0.6 s; peak memory 271 MiB.
2026-09-23T16:46:18Z INFO [77/369] 112e5ca6-6fb6-445e-8824-6fb399da9ccc: 48 datasets; 0.9 s; peak memory 271 MiB.
2026-09-23T16:48:12Z INFO [78/369] 112f0c31-81a7-4eb7-9f55-9d95fea946b2: 269 datasets; 114.2 s; peak memory 271 MiB.
2026-09-23T16:48:13Z INFO [79/369] 1130bd5f-9257-473e-9fba-5a4158faa973: 71 datasets; 1.3 s; peak memory 271 MiB.
2026-09-23T16:48:14Z INFO [80/369] 1130ed04-d1cf-4b09-9a8f-c80d356b2656: 78 datasets; 1.3 s; peak memory 271 MiB.
2026-09-23T16:48:15Z INFO [81/369] 11332d78-9020-4ba7-89e8-1dade6eaab49: 46 datasets; 0.4 s; peak memory 271 MiB.
2026-09-23T16:48:18Z INFO [82/369] 11339d80-72df-4be1-acbb-f7f9f33c5ea2: 86 datasets; 3.0 s; peak memory 271 MiB.
2026-09-23T16:48:19Z INFO [83/369] 1133b01e-6c09-403d-b137-f48fe18124f8: 117 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:48:20Z INFO [84/369] 1134b1bf-3eb9-45d5-acf7-c16ea6551f73: 112 datasets; 1.4 s; peak memory 271 MiB.
2026-09-23T16:48:21Z INFO [85/369] 1134ba22-48ff-456a-a4a2-89d9a934dadf: 112 datasets; 1.0 s; peak memory 271 MiB.
2026-09-23T16:48:22Z INFO [86/369] 113584a5-80f8-494e-93e1-d4a47dee2456: 63 datasets; 0.6 s; peak memory 271 MiB.
2026-09-23T16:48:22Z INFO [87/369] 113684a7-6e89-4094-9104-af9952b1162f: 46 datasets; 0.5 s; peak memory 271 MiB.
2026-09-23T16:48:23Z INFO [88/369] 1136a9a4-2443-4f64-9526-d8d55999403a: 112 datasets; 0.9 s; peak memory 271 MiB.
2026-09-23T16:48:26Z INFO [89/369] 1136bb64-4d82-46b0-af21-ea9d5041cf35: 835 datasets; 2.6 s; peak memory 271 MiB.
2026-09-23T16:48:26Z INFO [90/369] 1137a66f-18d5-47a4-89a1-5f5925abf855: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:48:27Z INFO [91/369] 1138d4fd-6777-44b4-b69e-5d6c75b28569: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:48:29Z INFO [92/369] 113a3eca-fcd0-4e52-81db-e779766e375e: 369 datasets; 2.2 s; peak memory 271 MiB.
2026-09-23T16:48:30Z INFO [93/369] 113a5f8c-2ad5-4c38-ba4b-16572a84d938: 41 datasets; 0.6 s; peak memory 271 MiB.
2026-09-23T16:48:30Z INFO [94/369] 113ab541-ee75-4df7-97ef-4e8af4c0c1f2: 114 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:48:31Z INFO [95/369] 113ad38a-4df7-411b-808c-f28c66dc6d07: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:48:32Z INFO [96/369] 113b72cb-937b-4422-b6d2-c578451def2a: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:48:33Z INFO [97/369] 113b9dce-7b96-4968-9ddd-4d4585e53ae4: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:48:33Z INFO [98/369] 113be62e-7929-4650-94f7-3ef4aebcce79: 50 datasets; 0.5 s; peak memory 271 MiB.
2026-09-23T16:48:34Z INFO [99/369] 113c8170-0934-487b-befe-713bc3c33ca1: 52 datasets; 0.6 s; peak memory 271 MiB.
2026-09-23T16:48:37Z INFO [100/369] 113c9f79-ea83-48da-a0da-0fe064e20d12: 573 datasets; 2.9 s; peak memory 271 MiB.
2026-09-23T16:48:37Z INFO [100/369] 113c9f79-ea83-48da-a0da-0fe064e20d12: checkpointed 55149 records.
