2026-09-21T12:33:45Z INFO Logging to /tmp/logs/update_2026-09-21T12-33-45Z.log.
2026-09-21T12:33:45Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-21T12:33:45Z INFO Processing 367 items (52499 already recorded).
2026-09-21T12:43:19Z INFO [129/367] 0c033e16-687b-483b-a370-a4b25d7eefcb: 66 datasets; 1.9 s; peak memory 290 MiB.
2026-09-21T12:43:21Z INFO [130/367] 0c036435-f5e1-4b02-8cee-61edbf7790cf: 48 datasets; 1.5 s; peak memory 290 MiB.
2026-09-21T12:43:27Z INFO [131/367] 0c03d995-e16f-4a8a-b14e-61f65a4102d6: 229 datasets; 6.6 s; peak memory 290 MiB.
2026-09-21T12:43:49Z INFO [132/367] 0c056b43-6267-48ae-b2bf-0ec117c12194: 48 datasets; 22.2 s; peak memory 290 MiB.
2026-09-21T12:43:51Z INFO [133/367] 0c05f8d7-4db4-4e87-8197-025322337f19: 48 datasets; 1.6 s; peak memory 290 MiB.
2026-09-21T12:43:52Z INFO [134/367] 0c06ba2d-380c-4171-82d5-0c5f075e7b3b: 48 datasets; 1.6 s; peak memory 290 MiB.
2026-09-21T12:43:54Z INFO [135/367] 0c073c33-97f8-4353-be2c-b2fe76aa6fc5: 48 datasets; 1.6 s; peak memory 290 MiB.
2026-09-21T12:44:03Z INFO [136/367] 0c079a8b-4343-4566-ac18-af39d1bca5dc: 323 datasets; 8.6 s; peak memory 290 MiB.
2026-09-21T12:44:04Z INFO [137/367] 0c0873ee-8af0-40af-90c6-913fbcbc1f93: 59 datasets; 1.6 s; peak memory 290 MiB.
2026-09-21T12:44:06Z INFO [138/367] 0c08e2b1-efc9-473f-8b05-6131a84a1936: 48 datasets; 1.5 s; peak memory 290 MiB.
2026-09-21T12:44:11Z INFO [139/367] 0c09694b-0f96-4e65-aaf1-af1f7f4a3187: 278 datasets; 5.7 s; peak memory 290 MiB.
2026-09-21T12:44:13Z INFO [140/367] 0c0a789b-c523-4280-a8fe-93225d9277d7: 48 datasets; 1.5 s; peak memory 290 MiB.
2026-09-21T12:44:15Z INFO [141/367] 0c0a837a-849f-4d35-b2d6-f1bc992dbe1d: 48 datasets; 1.6 s; peak memory 290 MiB.
2026-09-21T12:44:28Z INFO [142/367] 0c0ad8a8-60c1-4148-a1b3-666f36fc16aa: 1151 datasets; 13.1 s; peak memory 290 MiB.
2026-09-21T12:44:30Z INFO [143/367] 0c0c20fd-c4ca-43c0-b103-8ba372f3a7d7: 117 datasets; 2.0 s; peak memory 290 MiB.
2026-09-21T12:44:36Z INFO [144/367] 0c0c5077-0950-451d-8c9f-448165156bf7: 106 datasets; 5.9 s; peak memory 290 MiB.
2026-09-21T12:45:03Z INFO [145/367] 0c0dbb76-efe6-4339-8b1b-c09a84b384c5: 830 datasets; 27.6 s; peak memory 290 MiB.
2026-09-21T12:45:05Z INFO [146/367] 0c0dce25-3030-42f5-ae76-81fd98a7b7c5: 117 datasets; 1.7 s; peak memory 290 MiB.
2026-09-21T12:45:09Z INFO [147/367] 0c0e0290-843e-44c4-861e-f33a7346f108: 1779 datasets; 4.5 s; peak memory 290 MiB.
2026-09-21T12:45:11Z INFO [148/367] 0c0e67e4-7f3c-449f-a18e-2b5577a9ff71: 66 datasets; 2.2 s; peak memory 290 MiB.
2026-09-21T12:45:13Z INFO [149/367] 0c0e784f-95ac-4835-a11b-937ac1344eb1: 56 datasets; 1.2 s; peak memory 290 MiB.
2026-09-21T12:45:15Z INFO [150/367] 0c0ea99d-f66a-41a5-b905-8332196e402f: 71 datasets; 2.2 s; peak memory 290 MiB.
2026-09-21T12:45:15Z INFO [150/367] 0c0ea99d-f66a-41a5-b905-8332196e402f: checkpointed 52649 records.
2026-09-21T12:45:17Z INFO [151/367] 0c0f3236-b508-42c9-93dd-6ef403f97a7e: 69 datasets; 1.7 s; peak memory 290 MiB.
2026-09-21T12:45:19Z INFO [152/367] 0c0f91f5-7cf7-4e84-be71-35bec34d05a0: 112 datasets; 2.2 s; peak memory 290 MiB.
2026-09-21T12:45:24Z INFO [153/367] 0c102576-35cd-40ca-9780-64e6bfc18e6f: 111 datasets; 5.4 s; peak memory 290 MiB.
2026-09-21T12:45:26Z INFO [154/367] 0c10ebf2-ee30-4df4-b78e-e2b3fead1ff6: 102 datasets; 2.3 s; peak memory 290 MiB.
2026-09-21T12:45:28Z INFO [155/367] 0c115bca-a458-4138-b185-40a39089a2c6: 117 datasets; 1.6 s; peak memory 290 MiB.
2026-09-21T12:45:30Z INFO [156/367] 0c122516-de0b-4f6a-b25e-637936b38f1b: 48 datasets; 1.5 s; peak memory 290 MiB.
2026-09-21T12:45:32Z INFO [157/367] 0c125d2c-6908-435e-abed-6000af90c265: 261 datasets; 2.0 s; peak memory 290 MiB.
2026-09-21T12:45:52Z INFO [158/367] 0c12e027-075f-4baf-b3ea-c1d666f2e83b: 721 datasets; 20.5 s; peak memory 290 MiB.
2026-09-21T12:45:55Z INFO [159/367] 0c12fb8d-0a95-4dab-9330-49901190edf9: 119 datasets; 2.7 s; peak memory 290 MiB.
2026-09-21T12:46:04Z INFO [160/367] 0c1307af-2500-40e4-b57d-2b121af63801: 9079 datasets; 9.5 s; peak memory 290 MiB.
2026-09-21T12:46:06Z INFO [161/367] 0c1346ca-c08f-45fb-8c53-6a31863dbb9f: 77 datasets; 1.8 s; peak memory 290 MiB.
2026-09-21T12:46:08Z INFO [162/367] 0c135bf5-edec-45aa-b4d2-10c84f441c4f: 48 datasets; 1.5 s; peak memory 290 MiB.
2026-09-21T12:46:10Z INFO [163/367] 0c137387-db8e-4ff4-8d0e-f47390dc1b3a: 117 datasets; 1.9 s; peak memory 290 MiB.
2026-09-21T12:46:12Z INFO [164/367] 0c15757f-c7d3-4f46-9968-fca05f2d83ff: 71 datasets; 2.6 s; peak memory 290 MiB.
2026-09-21T12:46:14Z INFO [165/367] 0c15f4dd-1915-41d0-935a-762313e2361c: 64 datasets; 1.6 s; peak memory 290 MiB.
2026-09-21T12:46:38Z INFO [166/367] 0c161373-8c7b-41c1-94ba-149bcac86151: 48 datasets; 24.1 s; peak memory 290 MiB.
2026-09-21T12:46:39Z INFO [167/367] 0c165511-5cd7-4ada-b4e3-e7cd704ff6fc: 45 datasets; 1.2 s; peak memory 290 MiB.
2026-09-21T12:46:41Z INFO [168/367] 0c175264-ac4f-4899-8874-2e9dd65fbe2c: 48 datasets; 1.5 s; peak memory 290 MiB.
2026-09-21T12:49:00Z INFO [169/367] 0c17bd42-c80b-487a-abec-118c3fcdfff6: 167 datasets; 139.6 s; peak memory 406 MiB.
2026-09-21T12:49:04Z INFO [170/367] 0c185c30-4a76-4d9f-95f8-d0c845ed335d: 156 datasets; 4.2 s; peak memory 406 MiB.
2026-09-21T12:49:08Z INFO [171/367] 0c188a9f-0d21-4db2-9287-2eb0a899629f: 114 datasets; 3.5 s; peak memory 406 MiB.
2026-09-21T12:49:11Z INFO [172/367] 0c189b85-4d97-4e25-8a55-f40acc35c8ad: 115 datasets; 3.5 s; peak memory 406 MiB.
2026-09-21T12:49:16Z INFO [173/367] 0c18f685-e0d0-4b06-894a-6e0c4d46a5fd: 153 datasets; 4.3 s; peak memory 406 MiB.
2026-09-21T12:49:17Z INFO [174/367] 0c19531f-3dfa-456c-94dd-5869cae76b07: 44 datasets; 1.2 s; peak memory 406 MiB.
2026-09-21T12:49:20Z INFO [175/367] 0c1964db-af3e-45f2-ad71-fc6f203d8a5e: 38 datasets; 3.1 s; peak memory 406 MiB.
