2026-09-25T16:59:45Z INFO Logging to /tmp/logs/update_2026-09-25T16-59-45Z.log.
2026-09-25T16:59:45Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-25T16:59:45Z INFO Processing 367 items (57291 already recorded).
2026-09-25T17:04:06Z INFO [69/367] 15bf9e06-1b64-4968-82c0-7bfd5074719b: 38 datasets; 1.2 s; peak memory 256 MiB.
2026-09-25T17:04:14Z INFO [70/367] 15bfd727-807d-40f2-a4c9-00a30d6ac274: 813 datasets; 8.1 s; peak memory 256 MiB.
2026-09-25T17:04:16Z INFO [71/367] 15c010be-7d3e-4bce-90da-e24df1fd0422: 117 datasets; 1.4 s; peak memory 256 MiB.
2026-09-25T17:04:22Z INFO [72/367] 15c23891-3462-4f6c-9fd3-c8c322c8178c: 196 datasets; 6.6 s; peak memory 256 MiB.
2026-09-25T17:04:23Z INFO [73/367] 15c2c848-c941-48e8-a4af-6e31f1bbc841: 56 datasets; 1.0 s; peak memory 256 MiB.
2026-09-25T17:04:30Z INFO [74/367] 15c32318-500e-4836-b214-31128bd7f740: 257 datasets; 6.6 s; peak memory 256 MiB.
2026-09-25T17:04:32Z INFO [75/367] 15c32754-98b9-44d1-9c89-de325f7f7a31: 275 datasets; 1.9 s; peak memory 256 MiB.
2026-09-25T17:04:33Z INFO [76/367] 15c40281-eb15-400f-89f7-a5f8785a1b8b: 48 datasets; 1.3 s; peak memory 256 MiB.
2026-09-25T17:04:35Z INFO [77/367] 15c4e38a-5f39-4079-9352-0b0a4f61d4c2: 117 datasets; 1.4 s; peak memory 256 MiB.
2026-09-25T17:04:36Z INFO [78/367] 15c62eac-5a7d-4fd5-9020-b5cc725aff2a: 116 datasets; 1.4 s; peak memory 256 MiB.
2026-09-25T17:05:03Z INFO [79/367] 15c7095f-437c-4b3a-928f-6656c83e70e5: 1127 datasets; 27.3 s; peak memory 256 MiB.
2026-09-25T17:05:15Z INFO [80/367] 15c83cc1-f7c5-452a-b6ec-e6114f76f1b2: 614 datasets; 12.1 s; peak memory 256 MiB.
2026-09-25T17:05:17Z INFO [81/367] 15c88529-14de-4f0e-b9ba-a218f28606f5: 112 datasets; 1.7 s; peak memory 256 MiB.
2026-09-25T17:05:28Z INFO [82/367] 15ca3e65-dfc5-46d3-982a-8e24f040253e: 831 datasets; 11.0 s; peak memory 256 MiB.
2026-09-25T17:05:29Z INFO [83/367] 15ca3f0e-e304-46b6-bf6c-07a4db27ced9: 76 datasets; 1.3 s; peak memory 256 MiB.
2026-09-25T17:05:36Z INFO [84/367] 15cb7e06-b505-4da4-bc67-7ec88c4f405c: 570 datasets; 6.9 s; peak memory 256 MiB.
2026-09-25T17:05:38Z INFO [85/367] 15cb9f1b-fa1b-4223-b70b-ed0b3118bb2d: 112 datasets; 1.6 s; peak memory 256 MiB.
2026-09-25T17:05:49Z INFO [86/367] 15cc8b66-226d-449f-9ef9-574d0962f578: 410 datasets; 11.1 s; peak memory 256 MiB.
2026-09-25T17:05:51Z INFO [87/367] 15cccdd3-fa41-4a94-9045-1253659697b5: 65 datasets; 1.6 s; peak memory 256 MiB.
