2026-09-26T11:11:31Z INFO Logging to /tmp/logs/update_2026-09-26T11-11-31Z.log.
2026-09-26T11:11:31Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-26T11:11:31Z INFO Processing 384 items (58022 already recorded).
2026-09-26T11:27:15Z INFO [133/384] 175c8695-cfb8-4267-991d-3a20b0f9b0c9: 49 datasets; 1.0 s; peak memory 1225 MiB.
2026-09-26T11:28:05Z INFO [134/384] 175ca259-439b-438e-a4de-dbd176ac2ad5: 87 datasets; 50.0 s; peak memory 1225 MiB.
2026-09-26T11:28:06Z INFO [135/384] 175caf5f-be42-4086-bc8e-b188ab601097: 48 datasets; 0.8 s; peak memory 1225 MiB.
2026-09-26T11:28:07Z INFO [136/384] 175d049a-b523-4ee8-b653-e6cf0465153f: 48 datasets; 0.8 s; peak memory 1225 MiB.
2026-09-26T11:28:08Z INFO [137/384] 175df589-1ea4-4aa5-9180-b0df305fe7bb: 93 datasets; 1.0 s; peak memory 1225 MiB.
2026-09-26T11:28:09Z INFO [138/384] 175e7e2c-f6e2-4618-bcf3-c68581b5b13d: 72 datasets; 0.7 s; peak memory 1225 MiB.
2026-09-26T11:28:13Z INFO [139/384] 175e8731-2543-45df-b6a9-97e77feda718: 538 datasets; 4.4 s; peak memory 1225 MiB.
2026-09-26T11:28:14Z INFO [140/384] 175ed717-e5e5-470b-9b59-e969d2d84335: 21 datasets; 0.6 s; peak memory 1225 MiB.
2026-09-26T11:28:18Z INFO [141/384] 175f0876-7c47-4cd2-bd5c-9e6cd4e2ca2a: 200 datasets; 3.9 s; peak memory 1225 MiB.
2026-09-26T11:28:20Z INFO [142/384] 175f22db-c219-4667-8c26-bded68d5c13d: 163 datasets; 2.4 s; peak memory 1225 MiB.
2026-09-26T11:28:21Z INFO [143/384] 175f374d-ea9e-4e03-8bdf-4a84d17181ca: 46 datasets; 0.6 s; peak memory 1225 MiB.
2026-09-26T11:28:24Z INFO [144/384] 175f8208-4482-4910-9e3c-6ef1e6aca07b: 196 datasets; 3.8 s; peak memory 1225 MiB.
2026-09-26T11:28:25Z INFO [145/384] 1761636c-1b99-4d27-8a03-57351bff3cef: 48 datasets; 0.6 s; peak memory 1225 MiB.
2026-09-26T11:28:26Z INFO [146/384] 1761e0de-2194-4982-a1c2-ff1a3f678224: 48 datasets; 0.7 s; peak memory 1225 MiB.
2026-09-26T11:28:28Z INFO [147/384] 17622f60-43b3-4255-b374-9a33cd33bbb3: 428 datasets; 2.7 s; peak memory 1225 MiB.
2026-09-26T11:28:29Z INFO [148/384] 1762a692-9277-4fb0-b579-9f8dab3899e3: 114 datasets; 0.8 s; peak memory 1225 MiB.
2026-09-26T11:28:33Z INFO [149/384] 176324a3-6a79-44f0-a069-059aa9df9aa3: 223 datasets; 4.1 s; peak memory 1225 MiB.
2026-09-26T11:28:35Z INFO [150/384] 1763d30e-1b3a-45d3-a0fc-15d83b03c242: 124 datasets; 1.3 s; peak memory 1225 MiB.
2026-09-26T11:28:35Z INFO [150/384] 1763d30e-1b3a-45d3-a0fc-15d83b03c242: checkpointed 58172 records.
2026-09-26T11:28:38Z INFO [151/384] 176487cd-2202-40c0-a792-77155657088c: 229 datasets; 3.0 s; peak memory 1225 MiB.
2026-09-26T11:28:38Z INFO [152/384] 1765021c-6035-4154-b448-8e9d64aab579: 46 datasets; 0.6 s; peak memory 1225 MiB.
2026-09-26T11:28:39Z INFO [153/384] 17652a82-f9f8-4523-b0a1-dac27b494d01: 48 datasets; 0.8 s; peak memory 1225 MiB.
2026-09-26T11:28:41Z INFO [154/384] 17654cec-4dc5-4e81-975d-304f1a8ff7e2: 116 datasets; 1.9 s; peak memory 1225 MiB.
2026-09-26T11:28:42Z INFO [155/384] 17657de4-da99-4816-b2ad-a3e763b0a0d9: 79 datasets; 1.0 s; peak memory 1225 MiB.
2026-09-26T11:28:43Z INFO [156/384] 17663eef-3cff-43e8-ac5a-ad2a010f6569: 118 datasets; 0.7 s; peak memory 1225 MiB.
