2026-09-20T22:20:21Z INFO Logging to /tmp/logs/update_2026-09-20T22-20-21Z.log.
2026-09-20T22:20:21Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-20T22:20:21Z INFO Processing 369 items (52130 already recorded).
2026-09-20T22:21:15Z INFO [30/369] 0b0bd9a1-6f50-4c90-907c-306fd9187661: 101 datasets; 0.5 s; peak memory 148 MiB.
2026-09-20T22:21:16Z INFO [31/369] 0b0c6671-c22e-4613-8cd7-c75f600eceb0: 118 datasets; 0.6 s; peak memory 148 MiB.
2026-09-20T22:21:16Z INFO [32/369] 0b0ca92b-dfc9-420c-b29e-ecf1ae5ecad8: 48 datasets; 0.6 s; peak memory 148 MiB.
2026-09-20T22:21:17Z INFO [33/369] 0b0d2cc5-42e9-4826-8202-9913dc61933d: 48 datasets; 0.6 s; peak memory 148 MiB.
2026-09-20T22:21:17Z INFO [34/369] 0b0dc8fe-6e5b-4933-8da2-ef3de24f6d83: 117 datasets; 0.6 s; peak memory 148 MiB.
2026-09-20T22:21:18Z INFO [35/369] 0b0dd946-873a-451c-ae8a-7184d4b911d7: 84 datasets; 0.7 s; peak memory 148 MiB.
2026-09-20T22:21:19Z INFO [36/369] 0b0edf71-57f7-4725-856d-722f65502c7a: 111 datasets; 0.7 s; peak memory 148 MiB.
2026-09-20T22:21:20Z INFO [37/369] 0b0f4166-271e-414b-be4e-db992084061c: 168 datasets; 1.2 s; peak memory 148 MiB.
2026-09-20T22:21:22Z INFO [38/369] 0b108be4-36a3-4958-bb10-b53232fbc0e8: 90 datasets; 1.5 s; peak memory 148 MiB.
2026-09-20T22:21:22Z INFO [39/369] 0b111e3f-8262-4c16-ae03-22db6f76a2c8: 48 datasets; 0.5 s; peak memory 148 MiB.
2026-09-20T22:21:25Z INFO [40/369] 0b11297d-fad3-4394-9830-fb738400580e: 229 datasets; 2.8 s; peak memory 148 MiB.
2026-09-20T22:21:26Z INFO [41/369] 0b11cf19-6b8a-4885-864c-3831252faeeb: 117 datasets; 1.4 s; peak memory 148 MiB.
2026-09-20T22:21:27Z INFO [42/369] 0b12375f-9b5f-4c6c-b06c-5c68df38f91d: 110 datasets; 0.9 s; peak memory 148 MiB.
2026-09-20T22:21:28Z INFO [43/369] 0b130a84-f9ef-4fa7-b7f8-1316775f8797: 76 datasets; 0.9 s; peak memory 148 MiB.
2026-09-20T22:21:29Z INFO [44/369] 0b132fe0-e035-4bc3-8ee8-97922da91591: 113 datasets; 0.9 s; peak memory 148 MiB.
2026-09-20T22:21:39Z INFO [45/369] 0b13567f-e19a-4f7a-879b-ef79a1a4e435: 48 datasets; 10.4 s; peak memory 149 MiB.
2026-09-20T22:21:40Z INFO [46/369] 0b13b022-ba1f-4d3b-ad99-dc7c00bc83c6: 116 datasets; 0.7 s; peak memory 149 MiB.
2026-09-20T22:21:50Z INFO [47/369] 0b13fd06-a888-45d3-ab8d-c462c6d4078f: 1220 datasets; 10.2 s; peak memory 161 MiB.
