2026-09-26T00:28:52Z INFO Logging to /tmp/logs/update_2026-09-26T00-28-52Z.log.
2026-09-26T00:28:52Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-26T00:28:53Z INFO Processing 364 items (57658 already recorded).
2026-09-26T00:44:38Z INFO [107/364] 169886f2-c7b6-4c6d-a109-cc5678d869b1: 52 datasets; 0.5 s; peak memory 504 MiB.
2026-09-26T00:44:39Z INFO [108/364] 16989c88-2631-4c49-b787-eca3f30861a0: 104 datasets; 0.9 s; peak memory 504 MiB.
2026-09-26T00:44:40Z INFO [109/364] 16991f81-23b1-4675-b83e-318f397652a9: 48 datasets; 0.7 s; peak memory 504 MiB.
2026-09-26T00:44:40Z INFO [110/364] 16993431-283e-4795-8469-8908862d06d1: 56 datasets; 0.5 s; peak memory 504 MiB.
2026-09-26T00:44:41Z INFO [111/364] 16993ff8-af44-447c-933d-8c2d19f59f90: 46 datasets; 0.4 s; peak memory 504 MiB.
2026-09-26T00:44:42Z INFO [112/364] 169a480f-cd5d-42a3-a66a-cb0b6b8040d6: 170 datasets; 0.8 s; peak memory 504 MiB.
2026-09-26T00:44:42Z INFO [113/364] 169a52be-69c7-4693-8c60-e29f465b13cf: 48 datasets; 0.7 s; peak memory 504 MiB.
2026-09-26T00:44:43Z INFO [114/364] 169ac040-16b4-4962-83ef-0402b70957bc: 114 datasets; 0.6 s; peak memory 504 MiB.
2026-09-26T00:44:43Z INFO [115/364] 169bd98f-49a4-41f4-a7e1-c669e4bd3e5e: 56 datasets; 0.5 s; peak memory 504 MiB.
2026-09-26T00:44:51Z INFO [116/364] 169be166-06e8-450f-b1d5-1b5729eecf9e: 44 datasets; 7.8 s; peak memory 504 MiB.
2026-09-26T00:44:53Z INFO [117/364] 169d5b01-b742-4d9b-8cba-11c341fede94: 80 datasets; 1.4 s; peak memory 504 MiB.
2026-09-26T00:44:54Z INFO [118/364] 169d68e8-855f-490e-adc6-39d7a7bcd8ed: 118 datasets; 1.3 s; peak memory 504 MiB.
2026-09-26T00:45:04Z INFO [119/364] 169df90b-08a8-4411-a79f-d492ff2b4309: 1444 datasets; 9.7 s; peak memory 504 MiB.
2026-09-26T00:45:04Z INFO [120/364] 169e9089-101d-45d1-b541-f54b83e67bb1: 57 datasets; 0.5 s; peak memory 504 MiB.
2026-09-26T00:45:05Z INFO [121/364] 169f43d1-7601-47df-a939-c2ffd600f964: 118 datasets; 0.8 s; peak memory 504 MiB.
2026-09-26T00:45:05Z INFO [122/364] 16a0f595-79df-41de-9daf-0afe3af004b7: 46 datasets; 0.6 s; peak memory 504 MiB.
