2026-09-17T16:44:42Z INFO Logging to /tmp/logs/update_2026-09-17T16-44-42Z.log.
2026-09-17T16:44:42Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-17T16:44:42Z INFO Processing 500 items (48030 already recorded).
2026-09-17T16:48:12Z INFO [58/500] 026da8fc-01fd-4c50-b931-7513bb92e3d5: 112 datasets; 1.6 s; peak memory 281 MiB.
2026-09-17T16:48:13Z INFO [59/500] 026ea2d4-80b0-4dfa-87c6-91467b5d7456: 48 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:48:14Z INFO [60/500] 026ed2c0-0267-405b-a443-f610055369b3: 117 datasets; 1.2 s; peak memory 281 MiB.
2026-09-17T16:48:15Z INFO [61/500] 026edd41-d5c4-4eb9-bce6-aec2b28d3adb: 46 datasets; 1.1 s; peak memory 281 MiB.
2026-09-17T16:48:16Z INFO [62/500] 026f2545-e025-438d-a346-5a83ea2623ea: 119 datasets; 0.8 s; peak memory 281 MiB.
2026-09-17T16:48:18Z INFO [63/500] 026f8d08-f603-4e70-9471-3b1a17034aec: 38 datasets; 2.0 s; peak memory 281 MiB.
2026-09-17T16:48:19Z INFO [64/500] 0270603b-3fb5-40e3-a96a-85e60f4e1baf: 112 datasets; 1.3 s; peak memory 281 MiB.
2026-09-17T16:48:21Z INFO [65/500] 027104dc-4a1a-426e-88a0-b0b00153dbb0: 38 datasets; 2.0 s; peak memory 281 MiB.
2026-09-17T16:48:22Z INFO [66/500] 02717735-65c6-4ae7-8b49-305d3830a819: 117 datasets; 1.1 s; peak memory 281 MiB.
2026-09-17T16:48:24Z INFO [67/500] 02718419-2ed3-4aed-ba52-394f6e32bcd7: 71 datasets; 1.8 s; peak memory 281 MiB.
2026-09-17T16:48:25Z INFO [68/500] 0272af92-c8e8-49c5-8603-fe47a19522bb: 230 datasets; 1.1 s; peak memory 281 MiB.
2026-09-17T16:48:26Z INFO [69/500] 02732f18-5297-49be-9cdb-5ec2e5b3b8b4: 95 datasets; 1.4 s; peak memory 281 MiB.
2026-09-17T16:48:28Z INFO [70/500] 027397dd-2162-47ac-9f65-0ddfd6b69879: 66 datasets; 1.3 s; peak memory 281 MiB.
2026-09-17T16:48:29Z INFO [71/500] 02740701-1f67-45e0-b2a4-a7cbe7e62464: 117 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:48:30Z INFO [72/500] 02743f50-6873-4dc0-b940-b80dc244fbe9: 112 datasets; 1.4 s; peak memory 281 MiB.
2026-09-17T16:48:31Z INFO [73/500] 0275742a-fb13-4fd0-9feb-48a961e8ef61: 41 datasets; 0.8 s; peak memory 281 MiB.
2026-09-17T16:48:32Z INFO [74/500] 02757e50-e816-4a32-a8ef-3952a3ec217c: 146 datasets; 1.0 s; peak memory 281 MiB.
2026-09-17T16:48:39Z INFO [75/500] 0275dffb-2b13-4531-95aa-7d40f528b451: 11485 datasets; 7.1 s; peak memory 281 MiB.
