2026-09-21T19:13:55Z INFO Logging to /tmp/logs/update_2026-09-21T19-13-55Z.log.
2026-09-21T19:13:55Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-21T19:13:55Z INFO Processing 356 items (52866 already recorded).
2026-09-21T19:19:07Z INFO [60/356] 0c9f1e96-ed7b-44a5-b2a3-7a1f2977bd5d: 68 datasets; 1.6 s; peak memory 212 MiB.
2026-09-21T19:19:08Z INFO [61/356] 0ca13239-b128-459e-887c-cfb6a615a7f8: 48 datasets; 1.4 s; peak memory 212 MiB.
2026-09-21T19:19:09Z INFO [62/356] 0ca1af61-a340-470b-af55-f682ab89c4f9: 114 datasets; 1.2 s; peak memory 212 MiB.
2026-09-21T19:19:11Z INFO [63/356] 0ca2789d-d620-4874-afaa-ea7928aafe8c: 38 datasets; 1.9 s; peak memory 212 MiB.
2026-09-21T19:19:28Z INFO [64/356] 0ca2aae7-becb-4500-9745-bcfbba902c5e: 945 datasets; 17.1 s; peak memory 212 MiB.
2026-09-21T19:19:29Z INFO [65/356] 0ca30142-13c5-4aa0-8588-7212ff6ba0a4: 45 datasets; 1.1 s; peak memory 212 MiB.
2026-09-21T19:19:37Z INFO [66/356] 0ca44c75-0ffa-4795-a239-5faf26c3276c: 196 datasets; 7.1 s; peak memory 212 MiB.
2026-09-21T19:19:39Z INFO [67/356] 0ca478d2-3906-4172-8c06-d7691e51a7ee: 66 datasets; 2.1 s; peak memory 212 MiB.
2026-09-21T19:20:02Z INFO [68/356] 0ca489dc-8c49-4444-a3ca-5298b181c683: 1068 datasets; 23.1 s; peak memory 212 MiB.
2026-09-21T19:20:03Z INFO [69/356] 0ca583e0-5190-4d42-b56b-79a77480d764: 35 datasets; 1.0 s; peak memory 212 MiB.
2026-09-21T19:20:04Z INFO [70/356] 0ca5d8b2-d4cb-4372-81be-b3976818ef64: 46 datasets; 1.1 s; peak memory 212 MiB.
2026-09-21T19:20:05Z INFO [71/356] 0ca66fab-77c9-434c-bcbb-088dc4618c90: 48 datasets; 1.5 s; peak memory 212 MiB.
2026-09-21T19:20:07Z INFO [72/356] 0ca6803e-c0a6-49f8-b5fc-a1820abce9e5: 48 datasets; 1.4 s; peak memory 212 MiB.
2026-09-21T19:20:08Z INFO [73/356] 0ca6a9b7-e2da-4fbb-ac9f-82e7df213443: 48 datasets; 1.4 s; peak memory 212 MiB.
2026-09-21T19:20:10Z INFO [74/356] 0ca6af8a-dcaf-4580-9127-0b712b8a88df: 117 datasets; 1.5 s; peak memory 212 MiB.
2026-09-21T19:20:16Z INFO [75/356] 0ca7df4c-e21f-4188-b3bc-b2e2e8cb3115: 410 datasets; 6.0 s; peak memory 212 MiB.
2026-09-21T19:20:18Z INFO [76/356] 0ca7f883-3a3f-4087-8d0c-029c8e98ee37: 112 datasets; 2.0 s; peak memory 212 MiB.
2026-09-21T19:20:20Z INFO [77/356] 0ca913fd-c6ca-4142-9eb9-82537e4f7303: 66 datasets; 1.8 s; peak memory 212 MiB.
2026-09-21T19:20:21Z INFO [78/356] 0caaa06c-58fa-47ee-810e-65e09c85ab2c: 46 datasets; 1.0 s; peak memory 212 MiB.
2026-09-21T19:20:22Z INFO [79/356] 0caae806-5d7e-4b81-873c-dc23cd2381e9: 48 datasets; 1.3 s; peak memory 212 MiB.
2026-09-21T19:20:23Z INFO [80/356] 0caaedce-7696-4563-815d-7ba5b0a35c95: 48 datasets; 1.4 s; peak memory 212 MiB.
2026-09-21T19:20:35Z INFO [81/356] 0cab1578-d520-433a-9dac-acee68dfb0d9: 805 datasets; 12.0 s; peak memory 212 MiB.
2026-09-21T19:20:36Z INFO [82/356] 0cab82fe-9bf6-4b97-b7f7-e35fa3ef5b87: 54 datasets; 1.1 s; peak memory 212 MiB.
2026-09-21T19:20:38Z INFO [83/356] 0cac9995-0d51-4763-a046-6303bb40dd44: 117 datasets; 1.9 s; peak memory 212 MiB.
2026-09-21T19:20:41Z INFO [84/356] 0cad0f68-5304-48c7-a7f6-b0adaf66e41a: 101 datasets; 2.8 s; peak memory 212 MiB.
2026-09-21T19:20:43Z INFO [85/356] 0cade163-c2e0-4ca1-88f9-a802b803a264: 117 datasets; 1.7 s; peak memory 212 MiB.
2026-09-21T19:20:44Z INFO [86/356] 0cae0a41-48a4-4b84-8d3e-2d6aa23b8e87: 110 datasets; 1.6 s; peak memory 212 MiB.
2026-09-21T19:20:48Z INFO [87/356] 0cae139a-b658-4048-9c44-98ea5240dab7: 80 datasets; 3.4 s; peak memory 212 MiB.
2026-09-21T19:20:49Z INFO [88/356] 0caf61c8-aee5-4c1d-a648-e5354ca63bac: 118 datasets; 1.4 s; peak memory 212 MiB.
2026-09-21T19:20:51Z INFO [89/356] 0caf94e2-05da-496d-b092-5a1d5dd00ab7: 121 datasets; 1.5 s; peak memory 212 MiB.
2026-09-21T19:20:52Z INFO [90/356] 0cafd369-2eef-4504-b25c-0471ffc114c9: 49 datasets; 1.7 s; peak memory 212 MiB.
2026-09-21T19:20:55Z INFO [91/356] 0cafe0d3-4359-4090-b642-b20aaac01c94: 118 datasets; 3.0 s; peak memory 212 MiB.
2026-09-21T19:20:57Z INFO [92/356] 0cb0ce39-d72b-4704-9f88-bc66a5c7c731: 48 datasets; 1.4 s; peak memory 212 MiB.
2026-09-21T19:20:59Z INFO [93/356] 0cb1add9-a132-41d2-b51a-994a6d21ff8c: 71 datasets; 2.2 s; peak memory 212 MiB.
