2026-09-19T10:43:10Z INFO Logging to /tmp/logs/update_2026-09-19T10-43-10Z.log.
2026-09-19T10:43:10Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-19T10:43:10Z INFO Processing 374 items (50269 already recorded).
2026-09-19T11:02:02Z INFO [120/374] 074e772c-2558-48f8-8a3d-ec21f02afb3f: 71 datasets; 1.0 s; peak memory 1187 MiB.
2026-09-19T11:02:02Z INFO [121/374] 074fa7c3-08c4-4510-8f1f-b7dc04d6077f: 46 datasets; 0.4 s; peak memory 1187 MiB.
2026-09-19T11:02:04Z INFO [122/374] 074fb38d-8f97-437d-9e49-df2bf8330594: 215 datasets; 1.9 s; peak memory 1187 MiB.
2026-09-19T11:02:07Z INFO [123/374] 07503ca0-7693-4ccb-81fa-a827eac35250: 332 datasets; 3.0 s; peak memory 1187 MiB.
2026-09-19T11:02:11Z INFO [124/374] 0750e8f3-5e8a-4c42-aad4-303e0c61400c: 196 datasets; 4.0 s; peak memory 1187 MiB.
2026-09-19T11:02:12Z INFO [125/374] 07517ec6-ffd1-4c7d-9e45-6390bab8baf1: 113 datasets; 1.1 s; peak memory 1187 MiB.
2026-09-19T11:02:13Z INFO [126/374] 07521bf9-5f59-4cba-a716-ae822b8ba8b4: 72 datasets; 0.8 s; peak memory 1187 MiB.
2026-09-19T11:02:13Z INFO [127/374] 0752b896-4305-4d06-af73-6884e7d39df8: 45 datasets; 0.4 s; peak memory 1187 MiB.
2026-09-19T11:02:16Z INFO [128/374] 0752f0da-e95d-4054-8e40-ecd54108c951: 229 datasets; 3.2 s; peak memory 1187 MiB.
2026-09-19T11:02:17Z INFO [129/374] 07536aa9-7d6c-4e88-bd88-1d9517b4cb3a: 117 datasets; 0.7 s; peak memory 1187 MiB.
2026-09-19T11:02:21Z INFO [130/374] 07541557-74db-443c-b8d4-6d8d2978f08c: 788 datasets; 4.0 s; peak memory 1187 MiB.
2026-09-19T11:02:24Z INFO [131/374] 07544e97-08eb-4cd3-a8d6-db2ba4556544: 38 datasets; 2.7 s; peak memory 1187 MiB.
2026-09-19T11:02:24Z INFO [132/374] 075492ee-8235-4128-bda0-edf90b5986bd: 48 datasets; 0.7 s; peak memory 1187 MiB.
2026-09-19T11:02:25Z INFO [133/374] 0754dafe-459c-4823-9d00-5d670ce165a3: 48 datasets; 0.7 s; peak memory 1187 MiB.
2026-09-19T11:02:26Z INFO [134/374] 075519f8-98db-4d07-b118-768869f770aa: 52 datasets; 0.5 s; peak memory 1187 MiB.
2026-09-19T11:02:26Z INFO [135/374] 075656cd-6a00-4619-bc60-80be5a605f33: 117 datasets; 0.7 s; peak memory 1187 MiB.
2026-09-19T11:02:27Z INFO [136/374] 0756fa1a-bf6b-4647-a0b5-11c35510ec55: 48 datasets; 0.8 s; peak memory 1187 MiB.
2026-09-19T11:02:28Z INFO [137/374] 0758504e-115e-4c77-a84d-6ed9140fd392: 48 datasets; 0.6 s; peak memory 1187 MiB.
2026-09-19T11:02:35Z INFO [138/374] 07587f38-19c8-4b3c-9f6f-e8e70f1dbf68: 757 datasets; 7.5 s; peak memory 1187 MiB.
2026-09-19T11:02:37Z INFO [139/374] 0758df8d-7eaf-4318-82df-7cdfa27f1988: 69 datasets; 1.3 s; peak memory 1187 MiB.
2026-09-19T11:02:37Z INFO [140/374] 0758e09f-7f0b-4d58-b0f9-4c887926f01b: 46 datasets; 0.5 s; peak memory 1187 MiB.
2026-09-19T11:02:38Z INFO [141/374] 0758e696-430d-4519-a807-d9b33f800b11: 84 datasets; 0.7 s; peak memory 1187 MiB.
2026-09-19T11:02:39Z INFO [142/374] 07592932-5fe2-460a-a89e-c98bc2a4eec6: 42 datasets; 0.8 s; peak memory 1187 MiB.
2026-09-19T11:02:39Z INFO [143/374] 0759660a-ea15-427d-9d30-c52e673467d0: 46 datasets; 0.4 s; peak memory 1187 MiB.
2026-09-19T11:02:40Z INFO [144/374] 0759cf7c-abf0-4582-ab48-2e8196b0c069: 84 datasets; 1.2 s; peak memory 1187 MiB.
